RESID,NAME,ADDRESS,CONTACT,TIMINGS,DAYS OPEN,CUISINE,DINING RATING,DELIVERY RATING,KNOWN FOR,PEOPLE LIKED,TOP DISHES,HIGHLIGHTS,AVERAGE COST
3400299,Bikanervala,"Kalyani Point, Near Tulsi Cinema, Bypass Road, Khandari, Agra","+918006683777, +915624005343",8:30am - 10:30pm,Mon-Sun,"North Indian, South Indian, Mithai, Street Food, Desserts, Chinese, Bakery, Pizza",4.3,4.4,,Prompt Service,"Raj Kachori, Pav Bhaji, Deluxe Thali, Masala Dosa, Chole Bhature, Chaat, Tandoori Platter","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 700 for two people (approx.)
3400279,Mc Donald's,"4-5, Ashok Cosmos Mall, Sanjay Place, Civil Lines, Agra",+917830008007,11am - 9pm,Mon-Sun,"Burger, Fast Food",4.4,4.4,,,"Burgers, French Fries","Indoor Seating, ",Rs. 500 for two people (approx.)
3400290,Bhagat Halwai,"Near Anjana Cinema, Nehru Nagar, Civil Lines, Agra","+917417100555, +919045123333",8am - 11pm,"Mon-Tue, Thu-Sun","Fast Food, Mithai, Chinese, South Indian, Beverages",4.3,4.5,,Prompt Service,"Chaat, Pav Bhaji, Gol Gappe, Lassi, Burgers, Dhokla, Spring Roll","Breakfast, Home Delivery, Vegetarian Only, Dance Floor, Smoking Area, Indoor Seating, ",Rs. 300 for two people (approx.)
3400005,Mama Chicken Mama Franky House,"A-17, Shoping Arcade, Sadar Bazaar, Agra Cantt, Agra","+918171447082, +918899199999","12midnight - 1am, 12:30pm - 12midnight",Mon,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",4.4,4.2,,Prompt Service,"Biryani, Rolls, Tandoori Chicken, Butter Chicken, Chicken Handi, Naan, Mutton Seekh","Home Delivery, Indoor Seating, ",Rs. 600 for two people (approx.)
3400275,Domino's Pizza,"114/23 G, Deep Shikha Complex, Sanjay Place, Civil Lines, Agra","+915622553000, 18602100000",10:57am - 11pm,Mon-Sun,"Pizza, Fast Food",4.2,4.4,,,"Garlic Bread, Cheese Burst Pizza, White Sauce Pasta","Home Delivery, Indoor Seating, Free Parking, ",Rs. 400 for two people (approx.)
3400017,Pinch Of Spice,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",+915624009004,12noon - 9pm,Mon-Sun,"North Indian, Chinese, Mughlai",4.7,4.2,,"Courteous Staff, Prompt Service, Friendly Staff, Decor","Paan Shot, Butter Chicken, Dal Makhani, Dal Bukhara, Spring Roll, Paneer Tikka, Kadhai Paneer","Home Delivery, Table booking recommended, Indoor Seating, ","Rs. 1,600 for two people (approx.)"
3401284,Cake House,"23/301, Wazirpura Road, Judge Compound Chowraha, Wazirpura, Civil Lines, Agra",+919897409409,9am - 9pm,Mon-Sun,"Bakery, Fast Food",3.9,3.5,,,"Cheese Sandwich, Chocochip Cake, Masala Dosa, Paneer Dosa","Home Delivery, Desserts and Bakes, Indoor Seating, ",Rs. 500 for two people (approx.)
3400282,Aahar,"26/118, Opposite Income Tax Building, Sanjay Place, Civil Lines, Agra","+915622855660, +915624030500, +919897085000",10am - 11pm,Mon-Sun,"North Indian, South Indian, Chinese, Bakery, Continental",4.1,4.2,,,"Thali, Dal Makhani, Gol Gappe, Chaat, Pizza, White Sauce Pasta, Panneer Butter Masala","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 700 for two people (approx.)
3400297,Bhagat Halwai,"Heera Bagh, Khel Gaon, Dayal Bagh, Agra","+917500606444, +919219570000",8am - 10:30pm,Mon-Sun,"Chinese, Mithai, South Indian, Pizza, Burger, Bakery, Beverages",4.1,4.2,,,"Faluda, Spring Roll, Lassi, Pav Bhaji, Burgers, Aloo Tikki","Breakfast, Home Delivery, Vegetarian Only, Indoor Seating, Desserts and Bakes, ",Rs. 250 for two people (approx.)
3400457,Yadav Dhaba Purana,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra","+918218920576, +917017990937",12noon - 12midnight,Mon-Sun,North Indian,4.3,4.3,,,"Salad, Shahi Paneer, Kadhai Paneer, Dal Makhani, Rajma, Panneer Butter Masala","Home Delivery, Vegetarian Only, Indoor Seating, ",Rs. 300 for two people (approx.)
